Country;Games ;WinP ;Wins ;Draws ;Losses ;Accuracy ;Player
USA;306;52;159;7;140;75.6;Kacper
India;154;47.4%;73;5;76;74.8;Kacper
UK;99;49.5%;49;0;50;73.9;Kacper
France;96;51;49;0;47;74.6;Kacper
Brazil;72;55.6%;40;3;29;75.9;Kacper
Italy;72;40.3%;29;3;40;74.5;Kacper
Germany;68;39.7%;27;2;39;74.5;Kacper
Poland;60;60;36;1;23;75.2;Kacper
Spain;57;45.6%;26;2;29;74.3;Kacper
Norway;49;59.2%;29;0;20;79.2;Kacper
Netherlands;46;39.1%;18;1;27;71.5;Kacper
Canada;40;45;18;2;20;74.5;Kacper
Russia;38;55.3%;21;0;17;77.3;Kacper
Mexico;33;45.5%;15;0;18;74.6;Kacper
Argentina;31;51.6%;16;2;13;77.8;Kacper
Indonesia;31;48.4%;15;0;16;71.8;Kacper
Australia;28;39.3%;11;0;17;75.4;Kacper
Turkey;27;55.6%;15;1;11;76.4;Kacper
Philippines;26;42.3%;11;1;14;75.4;Kacper
Israel;21;47.6%;10;1;10;77.7;Kacper
Ukraine;21;38.1%;8;0;13;72.1;Kacper
International;21;47.6%;10;0;11;74.2;Kacper
Greece;20;35%;7;1;12;77.0;Kacper
Sweden;19;52.6%;10;0;9;73.5;Kacper
South Africa;18;38.9%;7;1;10;74.4;Kacper
Switzerland;16;68.8%;11;0;5;79.0;Kacper
Iran;16;50%;8;0;8;77.7;Kacper
Belgium;15;40%;6;0;9;72.6;Kacper
Finland;15;40%;6;0;9;76.7;Kacper
Croatia;15;40%;6;0;9;79.0;Kacper
Austria;13;46.2%;6;1;6;75.6;Kacper
Egypt;13;46.2%;6;0;7;78.8;Kacper
Belarus;12;58.3%;7;0;5;76.9;Kacper
Czech Republic;12;33.3%;4;0;8;71.4;Kacper
Denmark;12;58.3%;7;0;5;70.7;Kacper
Colombia;11;54.5%;6;1;4;77.5;Kacper
Ireland;11;36.4%;4;0;7;71.9;Kacper
Peru;11;54.5%;6;0;5;77.8;Kacper
Romania;11;54.5%;6;0;5;77.5;Kacper
Serbia;11;63.6%;7;0;4;76.7;Kacper
Azerbaijan;10;100%;10;0;0;79.0;Kacper
Malaysia;9;33.3%;3;0;6;73.7;Kacper
Portugal;9;33.3%;3;0;6;74.6;Kacper
Hungary;8;37.5%;3;0;5;73.7;Kacper
Vietnam;8;50%;4;0;4;78.0;Kacper
England;8;25%;2;0;6;71.4;Kacper
Bulgaria;7;42.9%;3;0;4;74.3;Kacper
Armenia;6;50%;3;0;3;74.4;Kacper
Kazakhstan;6;16.7%;1;0;5;72.3;Kacper
New Zealand;6;83.3%;5;0;1;82.4;Kacper
United Arab Emirates;5;80%;4;0;1;75.3;Kacper
Ecuador;5;40%;2;0;3;65.5;Kacper
Kenya;5;40%;2;0;3;75.5;Kacper
South Korea;5;40%;2;0;3;77.7;Kacper
Nigeria;5;60%;3;0;2;76.9;Kacper
Saudi Arabia;5;80%;4;0;1;83.3;Kacper
Dominican Republic;4;50%;2;0;2;71.6;Kacper
Algeria;4;100%;4;0;0;77.4;Kacper
Iraq;4;50%;2;0;2;68.3;Kacper
Japan;4;75%;3;0;1;81.6;Kacper
Lithuania;4;25%;1;0;3;80.3;Kacper
Vatican City;4;25%;1;0;3;76.2;Kacper
Bangladesh;3;66.7%;2;0;1;75.5;Kacper
Chile;3;66.7%;2;0;1;86.5;Kacper
China;3;0%;0;1;2;71.1;Kacper
Singapore;3;33.3%;1;0;2;64.9;Kacper
Slovenia;3;100%;3;0;0;81.6;Kacper
Somalia;3;66.7%;2;0;1;86.5;Kacper
Thailand;3;33.3%;1;1;1;75.4;Kacper
Tunisia;3;33.3%;1;0;2;69.6;Kacper
Uzbekistan;3;33.3%;1;0;2;82.3;Kacper
Catalonia;3;33.3%;1;0;2;78.5;Kacper
Galicia;3;33.3%;1;0;2;64.7;Kacper
Wales;3;66.7%;2;0;1;81.0;Kacper
American Samoa;2;100%;2;0;0;95.0;Kacper
Barbados;2;100%;2;0;0;71.7;Kacper
Bolivia;2;0%;0;0;2;72.2;Kacper
Cuba;2;50%;1;0;1;85.4;Kacper
Cyprus;2;50%;1;1;0;90.6;Kacper
European Union;2;100%;2;0;0;72.9;Kacper
Ghana;2;0%;0;0;2;79.6;Kacper
Greenland;2;50%;1;0;1;70.9;Kacper
Hong Kong SAR China;2;100%;2;0;0;79.9;Kacper
Latvia;2;100%;2;0;0;70.9;Kacper
Moldova;2;0%;0;0;2;58.9;Kacper
Nicaragua;2;50%;1;0;1;81.8;Kacper
Pakistan;2;50%;1;0;1;61.9;Kacper
El Salvador;2;50%;1;0;1;80.5;Kacper
Venezuela;2;50%;1;0;1;80.7;Kacper
Scotland;2;50%;1;1;0;77.5;Kacper
Yemen;2;0%;0;1;1;80.9;Kacper
Afghanistan;1;100%;1;0;0;72.5;Kacper
Angola;1;100%;1;0;0;96.1;Kacper
Bosnia and Herzegovina;1;0%;0;0;1;77.3;Kacper
Bahrain;1;0%;0;0;1;76.3;Kacper
Bermuda;1;100%;1;0;0;80.3;Kacper
Costa Rica;1;0%;0;0;1;86.8;Kacper
CW;1;0%;0;0;1;59.1;Kacper
Dominica;1;100%;1;0;0;82.0;Kacper
Estonia;1;0%;0;0;1;63.4;Kacper
Western Sahara;1;100%;1;0;0;94.9;Kacper
Georgia;1;0%;0;0;1;67.0;Kacper
Honduras;1;0%;0;0;1;76.4;Kacper
Haiti;1;0%;0;0;1;47.7;Kacper
Iceland;1;100%;1;0;0;59.5;Kacper
Jordan;1;100%;1;0;0;90.6;Kacper
Kiribati;1;100%;1;0;0;63.4;Kacper
Kuwait;1;100%;1;0;0;88.6;Kacper
Lebanon;1;100%;1;0;0;85.3;Kacper
Liberia;1;0%;0;0;1;70.8;Kacper
Luxembourg;1;100%;1;0;0;90.1;Kacper
Libya;1;0%;0;0;1;81.6;Kacper
Morocco;1;100%;1;0;0;60.1;Kacper
Madagascar;1;0%;0;0;1;85.8;Kacper
North Macedonia;1;0%;0;0;1;65.2;Kacper
Myanmar (Burma);1;100%;1;0;0;91.7;Kacper
Mongolia;1;100%;1;0;0;75.9;Kacper
Macau SAR China;1;100%;1;0;0;54.8;Kacper
Mauritius;1;100%;1;0;0;85.5;Kacper
Namibia;1;0%;0;0;1;76.0;Kacper
Panama;1;0%;0;0;1;63.1;Kacper
Puerto Rico;1;0%;0;0;1;73.8;Kacper
Palestine;1;0%;0;0;1;72.7;Kacper
Slovakia;1;100%;1;0;0;79.9;Kacper
Trinidad and Tobago;1;100%;1;0;0;73.0;Kacper
Uganda;1;100%;1;0;0;97.6;Kacper
Samoa;1;100%;1;0;0;87.7;Kacper
