,id,timeControl,result,yourElo,playingWhite,enemyElo,enemyName,date,endHour,moves,yourClock,enemyClock
0,61321250755,60,win,1243,False,1270,greenhornet9814,2022.11.04,10:19:09 PDT,1.d4 d5 2.Bf4 Bf5 3.Bg3 e6 4.e3 c5 5.Bd3 Bxd3 6.Qxd3 Nf6 7.c3 Nc6 8.Qc2 Bd6 9.Nf3 O-O 10.Nbd2 Rc8 11.O-O-O cxd4 12.exd4 Nh5 13.Rde1 b5 14.Qb3 b4 15.Kb1 bxc3 16.Qxc3 Ne5 17.Qe3 Nc4 18.Nxc4 Rxc4 19.Rc1 Nxg3 20.hxg3 Qa5 21.Ne5 Bxe5 22.Qxe5 Rfc8 23.Rxc4 Rxc4 24.Rc1 Rxc1+ 25.Kxc1 h6 26.Qb8+ Kh7 27.a3 Qe1+ 28.Kc2 Qxf2+ 29.Kb3 Qxd4 30.g4 Qc4# *,600 595 587 577 562 556 548 535 517 504 496 438 423 405 364 327 315 306 287 229 212 193 179 129 111 101 86 80 66 60,600 596 595 594 593 592 587 582 581 571 550 541 469 446 392 389 355 339 334 324 292 286 267 261 248 224 218 185 183 123 123
1,61326631977,60,win,1211,False,1234,KriSt0f23,2022.11.04,11:48:51 PDT,1.d4 e5 2.dxe5 Nc6 3.Nf3 d6 4.exd6 Bxd6 5.Nc3 Nf6 6.Bg5 Bg4 7.h3 Bxf3 8.exf3 Qe7+ 9.Be2 O-O-O 10.O-O Rhe8 11.Bb5 h6 12.Re1 Qd7 13.Bxf6 gxf6 14.f4 Bxf4 15.Qxd7+ Kxd7 16.Rad1+ Kc8 17.Rxe8 Rxe8 18.Nd5 Be5 19.Nb4 Bxb2 20.Nxc6 bxc6 21.Bxc6 Re6 22.Bd7+ Kd8 23.Bxe6+ Ke7 24.Bb3 Ba3 25.Rd4 Bd6 26.Ra4 Bc5 27.Ra5 Bb6 28.Rh5 Kd6 29.Rxh6 Ke5 30.Rh7 f5 31.Rxf7 Kd4 32.h4 Kc3 33.h5 Kb2 34.h6 Ka3 35.h7 Kb2 36.h8=Q+ Ka3 37.Rxf5 Kb4 38.Re5 Ka3 39.Qh4 Kb2 40.Qa4 Bxf2+ 41.Kxf2 Kc1 42.Re1+ Kb2 43.Qd4+ Ka3 44.Qd3 Kb4 45.Bd5 Ka5 *,600 599 578 577 576 566 555 546 535 528 521 476 469 415 410 400 368 279 244 243 224 208 200 186 185 165 157 137 136 120 113 112 107 92 91 86 80 75 69 60 59 48 35 26 19,600 590 582 572 546 539 525 514 489 481 468 448 425 374 353 308 255 249 234 216 207 191 190 178 144 130 120 112 106 96 88 84 79 75 69 55 49 44 30 22 11 5 4 2 1 0
2,61326696985,60,lose,1224,False,1242,KriSt0f23,2022.11.04,11:52:05 PDT,1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5 4.Bc4 Nf6 5.d3 Bf5 6.Bf4 e6 7.Nf3 Bb4 8.Qd2 O-O 9.O-O Bg4 10.Ng5 h6 11.Nge4 Nbd7 12.Rfe1 Bf5 13.a3 Bxc3 14.Nxc3 c6 15.Bd6 Rfe8 16.Bf4 Rac8 17.Bxh6 gxh6 18.Qxh6 Nh7 19.Re3 Ndf6 20.Rh3 Red8 21.Qh4 Qb6 22.Qg3+ Kf8 23.Ne4 Bxh3 24.Nxf6 *,600 599 595 588 578 542 530 490 480 394 346 231 217 184 158 142 128 116 109 88 47 25 18 0,600 590 577 563 553 545 537 498 490 463 451 432 413 389 368 310 299 285 250 226 177 162 132 91
3,61328379149,60,win,1232,False,1234,KriSt0f23,2022.11.04,12:15:44 PDT,1.d4 Nc6 2.Bf4 f6 3.e3 d6 4.Nf3 e5 5.dxe5 dxe5 6.Bg3 Be6 7.Bb5 Ne7 8.Nc3 a6 9.Ba4 b5 10.Bb3 Ng6 11.Bxe6 Be7 12.Qxd8+ Rxd8 13.O-O Rd6 14.Bd5 Bd8 15.Rad1 Nce7 16.Bf7+ Kf8 17.Rxd6 cxd6 18.Bb3 Bc7 19.Nd5 Bb8 20.Nxe7 Kxe7 21.Rd1 Rd8 22.Bd5 Ba7 23.e4 Bc5 24.c3 a5 25.a3 b4 26.axb4 axb4 27.cxb4 Bxb4 28.Rc1 Ra8 29.h3 Ra7 30.Kh2 Bc5 31.Nh4 Nf8 32.f3 g6 33.Be1 Nd7 34.Bc3 Nb6 35.Rf1 Nxd5 36.exd5 Ra2 37.f4 Ra7 38.fxe5 dxe5 39.Nf3 Rd7 *,600 588 583 577 576 575 571 558 548 540 512 499 481 452 417 399 383 367 335 334 323 311 295 288 278 277 276 260 250 244 236 223 214 173 163 149 136 130 128,600 596 591 587 576 566 551 542 502 495 478 459 449 397 377 348 326 321 313 293 285 264 251 227 212 196 187 171 123 89 70 56 45 38 32 31 25 17 4 0
4,61395031309,60,lose,1225,False,1204,LietK,2022.11.05,6:48:35 PDT,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4 Bc5 5.c3 Nf6 6.cxd4 Bb4+ 7.Bd2 Bxd2+ 8.Qxd2 O-O 9.Nc3 d6 10.O-O Bg4 11.h3 Bxf3 12.gxf3 Nh5 13.Qe3 Qh4 14.f4 Nxf4 15.f3 Nxh3+ 16.Kg2 Ng5 17.Rh1 Nh3 18.Rxh3 Qf6 19.Rah1 h6 20.Nd5 Qd8 21.Kf2 Na5 22.Rg1 Nxc4 23.Qf4 Qg5 24.Rxg5 hxg5 25.Qxg5 f6 26.Qh5 Rf7 27.Qh8# *,600 597 587 571 557 535 520 508 497 489 480 472 453 427 412 371 206 195 180 161 152 138 91 86 76 54 54,600 583 579 576 573 545 523 515 505 499 486 482 462 451 432 417 405 389 366 355 329 300 268 243 242 234 211
5,61419656589,60,lose,1217,False,1251,NlsnCpd,2022.11.05,13:40:35 PDT,1.f4 f5 2.Nf3 Nf6 3.e3 e6 4.Be2 Be7 5.O-O O-O 6.a3 a6 7.b4 b5 8.Bb2 Bb7 9.d3 d6 10.Nbd2 Nc6 11.e4 d5 12.exf5 exf5 13.Ne5 Nxe5 14.fxe5 Nd7 15.Bh5 Bg5 16.Nf3 Be3+ 17.Kh1 Bb6 18.Qe2 d4 19.Nxd4 Nxe5 20.Ne6 Qe7 21.Nxf8 Rxf8 22.Bxe5 Qg5 23.Rae1 Bd5 24.Bf3 Bxf3 25.Qxf3 f4 26.Qd5+ Kh8 27.Bxf4 Rxf4 28.Re8+ *,600 592 582 568 558 544 526 513 501 491 443 427 412 398 374 354 339 303 277 239 222 193 100 68 54 42 26 0,600 594 593 592 590 589 588 587 586 583 582 571 570 569 504 479 465 351 317 284 273 242 206 197 188 159 107 89
6,61429826191,60,win,1206,False,1209,KriSt0f23,2022.11.06,16:29:36 PDT,1.e4 e5 2.Nf3 Nf6 3.Nxe5 Bd6 4.Nc4 Bc5 5.d4 Bb4+ 6.c3 Bd6 7.e5 Be7 8.exf6 Bxf6 9.Bd3 O-O 10.O-O Re8 11.Qc2 d6 12.Bxh7+ Kf8 13.Bd3 Bd7 14.Bf4 Bb5 15.Nbd2 a6 16.Rfe1 Rxe1+ 17.Rxe1 Nc6 18.Nf3 Qd7 19.Bf5 Qd8 20.b3 Ne7 21.Bg4 Ng6 22.Bg5 Bxg5 23.Nxg5 Qxg5 24.Bh3 Re8 25.Rxe8+ Bxe8 26.Qe4 Qc1+ *,600 596 587 573 552 539 538 537 528 522 493 479 467 454 438 423 422 406 382 342 326 311 248 221 214 196,600 597 582 526 499 486 476 466 452 441 430 414 400 388 374 357 341 303 289 280 256 241 233 212 188 127 0
7,61474802955,60,lose,1201,False,1207,tal_gmm,2022.11.06,3:57:43 PST,1.e4 e5 2.d4 exd4 3.Qxd4 Nc6 4.Qd1 Nf6 5.Nf3 Bb4+ 6.c3 Bc5 7.Nbd2 d6 8.Bc4 O-O 9.O-O Bg4 10.Nb3 Bb6 11.a4 Na5 12.Bd3 c6 13.Nxa5 Bxa5 14.b4 Bb6 15.a5 Bc7 16.Ba3 d5 17.h3 Bh5 18.exd5 cxd5 19.b5 Qd6 20.Bxd6 Bxd6 21.b6 a6 22.c4 dxc4 23.Bxc4 Rad8 24.Qb3 Ne4 25.g4 Bg6 26.Rae1 Nc5 27.Qa2 Kh8 28.Nh4 Bf4 29.Nxg6+ hxg6 30.Bxf7 Nd3 31.Rd1 Ne5 32.Rxd8 Rxd8 33.Bb3 Rd3 34.Re1 Rd2 35.Rxe5 Rxa2 36.Re8+ Kh7 37.Bxa2 Bd2 38.Bc4 Bxa5 39.Bxa6 Bxb6 40.Bxb7 *,600 591 580 571 544 537 524 508 496 479 468 451 431 423 415 395 377 362 349 337 304 288 269 241 224 216 177 124 112 89 71 70 52 42 27 15 8 6 5 0,600 599 598 597 595 585 581 577 572 571 547 529 496 495 484 464 463 440 431 418 411 402 401 381 358 336 316 302 282 269 245 233 206 183 171 156 151 149 133 125
8,61510317721,60,lose,1194,False,1250,vargg1715,2022.11.06,13:54:32 PST,1.e4 e5 2.Bc4 Bc5 3.d3 Nf6 4.Nc3 Nc6 5.Bg5 d6 6.Bxf6 Qxf6 7.Qf3 Qxf3 8.Nxf3 O-O 9.O-O Bg4 10.Nd5 Bxf3 11.gxf3 Rac8 12.c3 Rfe8 13.Kg2 Re6 14.b4 Bb6 15.a4 Rg6+ 16.Kh1 a5 17.b5 Nd8 18.Ne7+ Kf8 19.Nxc8 Ne6 20.Nxb6 cxb6 21.Bxe6 Rxe6 22.Rg1 Rf6 23.Rad1 Rxf3 24.Rg3 Rxf2 25.Rg2 Rf3 26.Rg3 Rf2 27.Rg2 Rf3 28.Rdg1 Rxd3 29.Rg3 Rd2 30.h4 Ra2 31.Rxg7 Rxa4 32.Rxh7 *,600 595 539 442 434 420 408 394 387 364 348 321 311 283 250 220 188 165 138 119 116 94 86 72 51 44 38 24 6 2 1 0,600 597 593 587 577 560 559 558 549 539 538 531 486 429 412 392 383 376 368 355 350 340 333 312 304 254 244 233 227 211 199 189
9,61510836467,60,win,1198,False,1186,KriSt0f23,2022.11.06,13:58:34 PST,1.d4 Nc6 2.Nf3 d5 3.Bf4 Bg4 4.e3 Bxf3 5.Qxf3 e6 6.Bd3 Nf6 7.Bg5 Be7 8.Qh3 O-O 9.Bxf6 g6 10.Bg5 Bxg5 11.Nd2 e5 12.O-O-O exd4 13.exd4 Nxd4 14.c3 Nc6 15.Rde1 a6 16.Re3 Bxe3 17.fxe3 b5 18.Rf1 Na5 19.Qe6 fxe6 *,600 583 574 570 566 562 552 537 507 493 486 477 474 452 448 437 425 419 401,600 577 562 549 538 516 492 481 464 422 398 374 369 359 341 330 305 295 276 245
